question,answer,type,columns_used,column_types,sample_answer,dataset,query
List the top 5 locations where the most incidents have occurred. If there are two or more with the same number order them alphabetically,"['Arnhem', 'Beirut International Airport (BEY)', 'Glasgow-Preswick Airport', 'Havana-José Martí International Airport (HAV)', 'Miami International Airport, FL (MIA)']",list[category], ['Incident_Location'],['category'],"['Arnhem', 'Bembridge Ai...', 'Carolina Aer...', 'Dahra-Wareho...', 'Glasgow-Pres...']",019_Aircraft,df['Incident_Location'].value_counts().sort_index().nlargest(5).index.tolist()
What are the 6 highest numbers of ground casualties in incidents?,"[1600, 900, 237, 107, 88, 87]",list[number],['Ground_Casualties'],['category'],"[9, 1]",019_Aircraft,"df['Ground_Casualties'].str.extract(r'Fatalities:\s*(\d+)', expand=False).astype(float).nlargest(6).tolist()"
Do all customers have phone service?,TRUE,boolean,['PhoneService'],['category'],FALSE,021_Telco,(df['PhoneService'].str.strip().eq('Yes')).all()
List the 4 most common property types.,"['Entire apartment', 'Private room in apartment', 'Entire condominium', 'Entire house']",list[category],['property_type'],['category'],"['Entire apartment', 'Private room in apartment', 'Entire guest suite', 'Entire condominium']",022_Airbnbs,df['property_type'].value_counts().head(4).index.tolist()
What are the top 3 URLs with the highest average monthly searches?,"['https://www.obviously.ai/', 'https://venturebeat.com/2021/10/12/no-code-ai-startup-obviously-ai-raises-4-7m/', 'https://hbr.org/2021/11/how-no-code-platforms-could-disrupt-the-it-industry']",list[category],"['URLs', 'Avg. monthly searches']","['url', 'number[uint8]']","[https://towardsdatascience.com/top-8-no-code-machine-learning-platforms-you-should-use-in-2020-1d1801300dd0, https://hbr.org/2021/11/how-no-code-platforms-can-bring-ai-to-small-and-midsize-businesses, https://www.obviously.ai/]",025_Data,df.groupby('URLs')['Avg. monthly searches'].mean().nlargest(3).index.tolist()
Which are the top 4 keywords associated with the URLs of lowest rankings?,"['no code data science', 'no code data analytics', 'no code data science', 'no code data science']",list[category],"['Ranking', 'Keyword']","['number[uint8]', 'category']","[no code analytics, no code data science, no code analytics platform, no code data science]",025_Data,"df.sort_values(by='Ranking', ascending=False).head(4)['Keyword'].tolist()"
Enumerate the bottom 3 URLs with the highest rankings.,"['https://www.obviously.ai/', 'https://www.obviously.ai/', 'https://venturebeat.com/2021/10/12/no-code-ai-startup-obviously-ai-raises-4-7m/']",list[category],"['Ranking', 'URLs']","['number[uint8]', 'url']","[https://www.obviously.ai/, https://hbr.org/2021/11/how-no-code-platforms-can-bring-ai-to-small-and-midsize-businesses, https://analyticsindiamag.com/top-12-no-code-machine-learning-platforms-in-2021/]",025_Data,"df.sort_values(by='Ranking', ascending=True).head(3)['URLs'].tolist()"
Are there any individuals in the dataset who are above 60 years of age?,FALSE,boolean,['Age'],['number[uint8]'],TRUE,028_Predict,(df['Age'] > 60).any()
Does anyone have a Diabetes Pedigree Function score above 2.5?,TRUE,boolean,['DiabetesPedigreeFunction'],['number[double]'],FALSE,028_Predict,(df['DiabetesPedigreeFunction'] > 2.5).any()
How many individuals have an insulin level above 150?,187,number,['Insulin'],['number[uint16]'],4,028_Predict,(df['Insulin'].astype(int) > 150).sum()
List the diabetes outcomes of the top 5 individuals with the highest insulin levels.,"[1, 1, 1, 1, 1]",list[category],"['Insulin', 'Outcome']","['number[uint16]', 'number[uint8]']","[1, 0, 0, 1, 1]",028_Predict,"df.nlargest(5, 'Insulin')['Outcome'].tolist()"
List the diabetes outcomes of the bottom 4 individuals with the lowest blood pressure.,"[0, 0, 0, 0]",list[category],"['BloodPressure', 'Outcome']","['number[uint8]', 'number[uint8]']","[0, 1, 0, 1]",028_Predict,"df.nsmallest(4, 'BloodPressure')['Outcome'].tolist()"
What are the ages of the top 4 individuals with the highest number of pregnancies?,"[51, 67, 67, 67]",list[number],"['Pregnancies', 'Age']","['number[uint8]', 'number[uint8]']","[40, 34, 50, 60]",028_Predict,"df.sort_values('Pregnancies', ascending=False).head(4)['Age'].tolist()"
List the BMI of the bottom 3 individuals with the lowest glucose levels.,"[32.0, 32.0, 32.0]",list[number],"['Glucose', 'BMI']","['number[uint8]', 'number[double]']","[20.4, 37.2, 30.2]",028_Predict,"df.nsmallest(3, 'Glucose')['BMI'].tolist()"
Enumerate the blood pressure levels of the top 5 individuals with the highest Diabetes Pedigree Function scores.,"[0, 0, 0, 0, 0]",list[number],"['DiabetesPedigreeFunction', 'BloodPressure']","['number[double]', 'number[uint8]']","[74, 50, 0, 80, 58]",028_Predict,"df.nlargest(5, 'DiabetesPedigreeFunction')['BloodPressure'].tolist()"
Are there any articles that have the material type 'Op-Ed'?,FALSE,boolean,['material_type'],['category'],FALSE,029_NYTimes,(df['material_type'] == 'Op-Ed').any()
How many unique material types are there in the dataset?,4,number,['material_type'],['category'],5,029_NYTimes,df['material_type'].nunique()
What is the longest length of a headline in the dataset?,96,number,['headline'],['text'],110,029_NYTimes,df['headline'].str.len().max()
How many articles were published on '2021-01-02'?,52,number,['date'],"['date[ns, UTC]']",0,029_NYTimes,df.loc[df['date'].astype(str).eq('2021-01-02 00:00:00+00:00')].shape[0]
What are the lengths of the headlines of the top 4 articles with the most number of keywords?,"[86, 85, 84, 84]",list[number],"['keywords', 'headline']","['list[category]', 'text']","[73, 20, 69, 62]",029_NYTimes,"(df.loc[df['keywords'].apply(lambda x: len(x) if isinstance(x,list) else 0).sort_values().tail(4).index,'headline']).astype(str).str.len().tolist()"
Enumerate the lengths of the headlines of the top 5 articles with the longest headlines.,"[96, 96, 95, 95, 95]",list[number],['headline'],['text'],"[110, 94, 92, 73, 73]",029_NYTimes,df['headline'].astype(str).str.len().nlargest(5).tolist()
What is the most common number of programming languages used by participants on a regular basis?,2,number,['What programming languages do you use on a regular basis?'],['list[category]'],3,030_Professionals,df['What programming languages do you use on a regular basis?'].apply(len).mode()[0]
What are the top 4 geographies represented in the dataset?,"['India', 'USA', 'Western Europe', 'China - Japan - Korea']",list[category],['Geographies'],['list[category]'],"['USA', 'India', 'Other', 'Russia']",030_Professionals,df[df['Geographies'].apply(len) > 0]['Geographies'].explode().value_counts().head(4).index.tolist()
Name the top 3 general segments of participants.,"['Analysts', 'Data Scientists', 'Academics']",list[category],['General Segments'],['list[category]'],"['Academics', 'Data Scientists', 'Analysts']",030_Professionals,df[df['General Segments'].apply(len) > 0]['General Segments'].explode().value_counts().head(3).index.tolist()
Identify the top 6 programming languages used regularly.,"['Python', 'SQL', 'R', 'Javascript', 'C++', 'Java']",list[category],['What programming languages do you use on a regular basis?'],['list[category]'],"['Python', 'SQL', 'R', 'Java', 'C++', 'Javascript']",030_Professionals,df[df['What programming languages do you use on a regular basis?'].apply(len) > 0]['What programming languages do you use on a regular basis?'].explode().value_counts().head(6).index.tolist()
list the highest average 3 years of machine learning experience.,"[19.83, 19.74, 19.68]",list[number],['(Average) For how many years have you used machine learning methods?'],['number[double]'],"[7.5,4.5,3.5]",030_Professionals,df['(Average) For how many years have you used machine learning methods?'].nlargest(3).tolist()
Which company received the lowest rating?,N26,category,"['rating', 'Company']","['number[uint8]', 'category']",N26,031_Trustpilot,df[df['rating'] == df['rating'].min()]['Company'].iloc[0]
